index	decimal	digits	hit_index
1	3	2	6
2	5	2	4
3	6	2	6
4	7	2	5
5	57	4	10
6	102	5	11
7	127	5	11
8	206	5	11
9	217	5	12
10	677	6	14
11	805	7	15
12	840	7	16
13	1486	7	17
14	1680	7	16
15	1887	7	16
16	2090	7	16
17	2834	8	17
18	8329	9	20
19	10145	9	20
20	12866	9	20
21	21127	10	22
22	23002	10	22
23	50782	10	23
24	67925	11	25
25	82685	11	25
26	96841	11	25
27	153861	11	26
28	178852	12	28
29	357896	12	28
30	3826652	14	33
31	17985694	16	37
32	38610616	16	38
33	38610808	16	38
34	70587766	17	40
35	160804168	18	42
36	341014432	18	43
37	632582224	19	45
38	10267031505	21	51
39	23315108901	22	53
40	23315477541	22	53
41	45348913872	23	55
42	188755980557	24	58
43	196133135546	24	58
44	381359341293	25	60
45	559430045134	25	60
46	829893652112	25	61
47	4765040776418	27	65
48	6216213392668	27	66
49	6695069185236	27	66
50	6961713187349	27	66
51	14649964613666	28	68
52	15366673874177	28	68
53	15857627517938	28	68
54	15857662538738	28	68
55	33000573191893	29	70
56	62364323071922	29	71
57	101279472029150	30	73
58	341224287960626	31	75
59	1329359510974325	32	78
60	8970547062861281	34	83
61	20400699583113685	35	85
62	41146020906458530	35	86
63	176636760662638914	37	90
64	841129060412364866	38	93
65	1304451289863909172	38	94
66	3216469304174908274	39	96
67	4237270102433804400	40	98
68	161531778241679473462	43	106
69	362356002156247530144	44	108
70	433979440781025308780	44	108
71	2818806718399404116770	45	112
72	7862390141807488783945	46	114
73	12153330695545980649642	47	116
74	24402570555206655450017	47	117
75	26057238313908118423552	47	117
76	26057240677036298799260	47	117
77	50424018359122354948974	48	119
78	60905998385997702692513	48	119
79	68923852817013771973978	48	119
80	118194938086102581504077	49	121
81	129496530006231989677304	49	121
82	744855695395129738182700	51	126
83	836121273148876781672237	51	126
84	891299181846173791486418	51	126
85	967249831053323919179792	51	126
86	1003181413161350267699190	51	126
87	1612078173362595713960004	51	127
88	1794602334299156523961765	51	127
89	7735843832712597032980100	53	131
90	9225538723615430545208752	53	131
91	33186840014061581530075568	54	134
92	59740496997208982023864412	55	136
93	70315757566442701431318677	55	136
94	148439136280382775588382317	55	137
95	980289331592034089750689056	57	142
96	1154281441158897203842514373	57	142
97	1210214998256018577717248768	57	142
98	1231672437031929111323438649	57	142
99	2209828562030969056716470882	58	144
100	3606650560371704089639881154	58	145
101	41555538520604736023259721185	60	150
102	132257479911121911959037803774	62	154
103	144320246543604588466954248541	62	154
104	180925818765768683213580395314	62	154
105	348262108518157413316841620114	62	155
106	622526458549359940134637356294	63	157
107	1253842541442543752246906492866	64	159
108	5778914713171377063235219239970	65	162
109	9854523961248449978279116049180	65	163
110	19861259094696888432828019589074	66	165
111	21190923750156256472843146855258	66	165
112	22414734456417315418634855098330	66	165
113	48156134193645358145465120170369	67	167
114	87747466573074009950352813199793	67	168
