k	m	lower	upper	nodes	candidates
18	48	24453922693	68719476735	2179	
18	49	24453922693	68719476735	56737	
18	50	24453922693	68719476735	101784	
18	51	24453922693	68719476735	3156	
18	52	24453922693	68719476735	176	
18	53	24453922693	68719476735	88	
18	54	24453922693	68719476735	63	
18	55	24453922693	68719476735	0	
18	56	24453922693	68719476735	0	
19	51	68719476736	274877906943	4983	
19	52	68719476736	274877906943	104737	
19	53	68719476736	274877906943	180767	
19	54	68719476736	274877906943	2783	
19	55	68719476736	274877906943	179	
19	56	68719476736	274877906943	91	
19	57	68719476736	274877906943	66	
19	58	68719476736	274877906943	0	
19	59	68719476736	274877906943	0	
20	54	274877906944	1099511627775	14119	
20	55	274877906944	1099511627775	195081	
20	56	274877906944	1099511627775	308130	
20	57	274877906944	1099511627775	2598	
20	58	274877906944	1099511627775	182	
20	59	274877906944	1099511627775	94	
20	60	274877906944	1099511627775	69	
20	61	274877906944	1099511627775	0	
20	62	274877906944	1099511627775	0	
21	57	1099511627776	4398046511103	39751	
21	58	1099511627776	4398046511103	373545	2375569094238
21	59	1099511627776	4398046511103	495053	
21	60	1099511627776	4398046511103	2405	
21	61	1099511627776	4398046511103	185	
21	62	1099511627776	4398046511103	97	
21	63	1099511627776	4398046511103	72	
21	64	1099511627776	4398046511103	0	
21	65	1099511627776	4398046511103	0	
22	60	4398046511104	17592186044415	117235	5473352509055
22	61	4398046511104	17592186044415	732257	9742923197455
22	62	4398046511104	17592186044415	761796	
22	63	4398046511104	17592186044415	2264	
22	64	4398046511104	17592186044415	188	
22	65	4398046511104	17592186044415	100	
22	66	4398046511104	17592186044415	75	
22	67	4398046511104	17592186044415	0	
22	68	4398046511104	17592186044415	0	
23	62	17592186044416	70368744177663	0	
23	63	17592186044416	70368744177663	331298	
23	64	17592186044416	70368744177663	1481018	
23	65	17592186044416	70368744177663	1131719	
23	66	17592186044416	70368744177663	2215	
23	67	17592186044416	70368744177663	191	
23	68	17592186044416	70368744177663	103	
23	69	17592186044416	70368744177663	78	
23	70	17592186044416	70368744177663	0	
23	71	17592186044416	70368744177663	0	
24	65	70368744177664	281474976710655	0	
24	66	70368744177664	281474976710655	819438	
24	67	70368744177664	281474976710655	3024097	152038348048545
24	68	70368744177664	281474976710655	1609210	
24	69	70368744177664	281474976710655	2194	
