index	decimal	base4	digits	hit_index
34	2375569094238	202210122330323121132	21	58
35	5473352509055	1033221131032312121333	22	60
36	9742923197455	2031301303132132300033	22	61
37	152038348048545	202210130233232210202201	24	67
38	353387237261042	1100112131200233223323302	25	69
39	1039642015534604	3230120302011001320320030	25	71
40	2431494812438214	20220312322000210120323012	26	73
41	5217766440390935	102202120133223030311010113	27	75
42	47453708818892663	2220211232112101123030131313	28	79
43	57341012950430378	3023231311203303332023022222	28	79
44	83483048989474328	10220211312100013302023320120	29	81
45	109941116537584214	12012211231303231123223221112	29	81
46	185874140559053788	22110112320233020331001033130	29	82
47	456793165739112664	121112312233123023231023203120	30	84
48	934060406678538399	303312130233312302311030202133	30	85
49	1647070794697469576	1123123210202211011313032322020	31	87
50	3246620754598895144	2310032110011333332101301320220	31	88
51	3550579834394506419	3011012030120300233233333102303	31	88
52	7982155805683268862	12323012110012213323210223303332	32	90
53	61025017088117933230	310323210122123132131122120102232	33	94
54	61186773691624450843	311010203011213312321133132230123	33	94
55	68518494384738384218	323123202211321313022323123211122	33	94
56	107716536038307203097	1131123132000231013312313100200121	34	96
57	134809505490320383002	1310323123210233313320213211300122	34	96
58	467765535484599558295	12111232031001003013321323312002113	35	99
59	978706159838305354942	31100321012300233130220313220102332	35	100
60	8046724397115209859338	1231003122323311130312201113230010022	37	105
61	8638173126667876080474	1311010122323310323032210013221231122	37	105
62	18674834427116462990043	3331011311203231333023320100232023123	37	106
63	32155308445927304908844	12303302102030022113013312332031000230	38	108
64	35042094615692621214733	13122322023000313333332003021113100031	38	108
65	62636812638289140987892	31100320301211003213132302110103133310	38	109
66	74698782078787805705343	33310112313120320120301032123233101333	38	109
67	140166846496547728943038	131223213113000313031101121110212132332	39	111
68	3108329045519499280251819	22102031231223232032232030332331333232223	41	117
69	4425531982097969546682217	32221021021013020301023332301200211331221	41	118
